
Smileys and people

🙌🏼; Person raising both hands in celebration; U+1F64C U+1F3FC; UTF-8: F0 9F 99 8C F0 9F 8F BC
🙌🏽; Person raising both hands in celebration; U+1F64C U+1F3FD; UTF-8: F0 9F 99 8C F0 9F 8F BD
🙌🏾; Person raising both hands in celebration; U+1F64C U+1F3FE; UTF-8: F0 9F 99 8C F0 9F 8F BE
🙌🏿; Person raising both hands in celebration; U+1F64C U+1F3FF; UTF-8: F0 9F 99 8C F0 9F 8F BF
👏; Clapping hands sign; U+1F44F; UTF-8: F0 9F 91 8F
👏🏻; Clapping hands sign; U+1F44F U+1F3FB; UTF-8: F0 9F 91 8F F0 9F 8F BB
👏🏼; Clapping hands sign; U+1F44F U+1F3FC; UTF-8: F0 9F 91 8F F0 9F 8F BC
👏🏽; Clapping hands sign; U+1F44F U+1F3FD; UTF-8: F0 9F 91 8F F0 9F 8F BD
👏🏾; Clapping hands sign; U+1F44F U+1F3FE; UTF-8: F0 9F 91 8F F0 9F 8F BE
👏🏿; Clapping hands sign; U+1F44F U+1F3FF; UTF-8: F0 9F 91 8F F0 9F 8F BF
👋; Waving hand sign; U+1F44B; UTF-8: F0 9F 91 8B
👋🏻; Waving hand sign; U+1F44B U+1F3FB; UTF-8: F0 9F 91 8B F0 9F 8F BB
👋🏼; Waving hand sign; U+1F44B U+1F3FC; UTF-8: F0 9F 91 8B F0 9F 8F BC
👋🏽; Waving hand sign; U+1F44B U+1F3FD; UTF-8: F0 9F 91 8B F0 9F 8F BD
👋🏾; Waving hand sign; U+1F44B U+1F3FE; UTF-8: F0 9F 91 8B F0 9F 8F BE
👋🏿; Waving hand sign; U+1F44B U+1F3FF; UTF-8: F0 9F 91 8B F0 9F 8F BF
👍; Thumbs up sign; U+1F44D; UTF-8: F0 9F 91 8D
👍🏻; Thumbs up sign; U+1F44D U+1F3FB; UTF-8: F0 9F 91 8D F0 9F 8F BB
👍🏼; Thumbs up sign; U+1F44D U+1F3FC; UTF-8: F0 9F 91 8D F0 9F 8F BC
👍🏽; Thumbs up sign; U+1F44D U+1F3FD; UTF-8: F0 9F 91 8D F0 9F 8F BD
👍🏾; Thumbs up sign; U+1F44D U+1F3FE; UTF-8: F0 9F 91 8D F0 9F 8F BE
👍🏿; Thumbs up sign; U+1F44D U+1F3FF; UTF-8: F0 9F 91 8D F0 9F 8F BF
👎; Thumbs down sign; U+1F44E; UTF-8: F0 9F 91 8E
👎🏻; Thumbs down sign; U+1F44E U+1F3FB; UTF-8: F0 9F 91 8E F0 9F 8F BB
👎🏼; Thumbs down sign; U+1F44E U+1F3FC; UTF-8: F0 9F 91 8E F0 9F 8F BC
👎🏽; Thumbs down sign; U+1F44E U+1F3FD; UTF-8: F0 9F 91 8E F0 9F 8F BD
👎🏾; Thumbs down sign; U+1F44E U+1F3FE; UTF-8: F0 9F 91 8E F0 9F 8F BE
👎🏿; Thumbs down sign; U+1F44E U+1F3FF; UTF-8: F0 9F 91 8E F0 9F 8F BF
👊; Fisted hand sign; U+1F44A; UTF-8: F0 9F 91 8A
👊🏻; Fisted hand sign; U+1F44A U+1F3FB; UTF-8: F0 9F 91 8A F0 9F 8F BB
👊🏼; Fisted hand sign; U+1F44A U+1F3FC; UTF-8: F0 9F 91 8A F0 9F 8F BC
👊🏽; Fisted hand sign; U+1F44A U+1F3FD; UTF-8: F0 9F 91 8A F0 9F 8F BD
👊🏾; Fisted hand sign; U+1F44A U+1F3FE; UTF-8: F0 9F 91 8A F0 9F 8F BE
👊🏿; Fisted hand sign; U+1F44A U+1F3FF; UTF-8: F0 9F 91 8A F0 9F 8F BF
✊; Raised fist; U+270A; UTF-8: E2 9C 8A
✊🏻; Raised fist; U+270A U+1F3FB; UTF-8: E2 9C 8A F0 9F 8F BB
✊🏼; Raised fist; U+270A U+1F3FC; UTF-8: E2 9C 8A F0 9F 8F BC
✊🏽; Raised fist; U+270A U+1F3FD; UTF-8: E2 9C 8A F0 9F 8F BD
✊🏾; Raised fist; U+270A U+1F3FE; UTF-8: E2 9C 8A F0 9F 8F BE
✊🏿; Raised fist; U+270A U+1F3FF; UTF-8: E2 9C 8A F0 9F 8F BF
✌️; Victory hand; U+270C U+FE0F; UTF-8: E2 9C 8C EF B8 8F
✌🏻; Victory hand; U+270C U+1F3FB; UTF-8: E2 9C 8C F0 9F 8F BB
✌🏼; Victory hand; U+270C U+1F3FC; UTF-8: E2 9C 8C F0 9F 8F BC
✌🏽; Victory hand; U+270C U+1F3FD; UTF-8: E2 9C 8C F0 9F 8F BD
✌🏿; Victory hand; U+270C U+1F3FF; UTF-8: E2 9C 8C F0 9F 8F BF
👌; Ok hand sign; U+1F44C; UTF-8: F0 9F 91 8C
👌🏻; Ok hand sign; U+1F44C U+1F3FB; UTF-8: F0 9F 91 8C F0 9F 8F BB
👌🏼; Ok hand sign; U+1F44C U+1F3FC; UTF-8: F0 9F 91 8C F0 9F 8F BC
👌🏽; Ok hand sign; U+1F44C U+1F3FD; UTF-8: F0 9F 91 8C F0 9F 8F BD
👌🏾; Ok hand sign; U+1F44C U+1F3FE; UTF-8: F0 9F 91 8C F0 9F 8F BE
👌🏿; Ok hand sign; U+1F44C U+1F3FF; UTF-8: F0 9F 91 8C F0 9F 8F BF
✋; Raised hand; U+270B; UTF-8: E2 9C 8B
✋🏻; Raised hand; U+270B U+1F3FB; UTF-8: E2 9C 8B F0 9F 8F BB
✋🏼; Raised hand; U+270B U+1F3FC; UTF-8: E2 9C 8B F0 9F 8F BC
✋🏽; Raised hand; U+270B U+1F3FD; UTF-8: E2 9C 8B F0 9F 8F BD
✋🏾; Raised hand; U+270B U+1F3FE; UTF-8: E2 9C 8B F0 9F 8F BE
✋🏿; Raised hand; U+270B U+1F3FF; UTF-8: E2 9C 8B F0 9F 8F BF
👐; Open hands sign; U+1F450; UTF-8: F0 9F 91 90
👐🏻; Open hands sign; U+1F450 U+1F3FB; UTF-8: F0 9F 91 90 F0 9F 8F BB
👐🏼; Open hands sign; U+1F450 U+1F3FC; UTF-8: F0 9F 91 90 F0 9F 8F BC
👐🏽; Open hands sign; U+1F450 U+1F3FD; UTF-8: F0 9F 91 90 F0 9F 8F BD
👐🏾; Open hands sign; U+1F450 U+1F3FE; UTF-8: F0 9F 91 90 F0 9F 8F BE
👐🏿; Open hands sign; U+1F450 U+1F3FF; UTF-8: F0 9F 91 90 F0 9F 8F BF
💪; Flexed biceps; U+1F4AA; UTF-8: F0 9F 92 AA
💪🏻; Flexed biceps; U+1F4AA U+1F3FB; UTF-8: F0 9F 92 AA F0 9F 8F BB
💪🏼; Flexed biceps; U+1F4AA U+1F3FC; UTF-8: F0 9F 92 AA F0 9F 8F BC
💪🏽; Flexed biceps; U+1F4AA U+1F3FD; UTF-8: F0 9F 92 AA F0 9F 8F BD
💪🏾; Flexed biceps; U+1F4AA U+1F3FE; UTF-8: F0 9F 92 AA F0 9F 8F BE
💪🏿; Flexed biceps; U+1F4AA U+1F3FF; UTF-8: F0 9F 92 AA F0 9F 8F BF
🙏; Person with folded hands; U+1F64F; UTF-8: F0 9F 99 8F
🙏🏻; Person with folded hands; U+1F64F U+1F3FB; UTF-8: F0 9F 99 8F F0 9F 8F BB
🙏🏼; Person with folded hands; U+1F64F U+1F3FC; UTF-8: F0 9F 99 8F F0 9F 8F BC
🙏🏽; Person with folded hands; U+1F64F U+1F3FD; UTF-8: F0 9F 99 8F F0 9F 8F BD
🙏🏾; Person with folded hands; U+1F64F U+1F3FE; UTF-8: F0 9F 99 8F F0 9F 8F BE
🙏🏿; Person with folded hands; U+1F64F U+1F3FF; UTF-8: F0 9F 99 8F F0 9F 8F BF
☝️; Up pointing index; U+261D U+FE0F; UTF-8: E2 98 9D EF B8 8F
☝🏻; Up pointing index; U+261D U+1F3FB; UTF-8: E2 98 9D F0 9F 8F BB
☝🏼; Up pointing index; U+261D U+1F3FC; UTF-8: E2 98 9D F0 9F 8F BC
☝🏽; Up pointing index; U+261D U+1F3FD; UTF-8: E2 98 9D F0 9F 8F BD
☝🏾; Up pointing index; U+261D U+1F3FE; UTF-8: E2 98 9D F0 9F 8F BE
☝🏿; Up pointing index; U+261D U+1F3FF; UTF-8: E2 98 9D F0 9F 8F BF
👆; Up pointing backhand index; U+1F446; UTF-8: F0 9F 91 86
